TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_1,AUX_2,AUX_3,AUX_4,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,Optics1,Optics2,Optics3,Optics4,Optics5,Optics6,Optics7,Optics8,Optics9,Optics10,Optics11,Optics12,Optics13,Optics14,Optics15,Optics16,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
35:14.8,1.2320056,0.55474675,1.2439543,0.65789866,0.98538786,0.20330486,0.9782926,0.26927805,0.8318019,0.26885292,0.4187753,0.6576742,0.9443303,0.66287065,0.52404654,0.8260382,0.5733421,0.53888565,0.37545386,0.40311593,660.78864,832.84503,746.10876,666.89557,716.3706,691.8544,689.02216,1217.2283,-0.137634277,0.192016602,0.903564453,30.11657715,-7.686157227,-8.246917725,7.148413799680519,6.7543094199270435,5.290684977231004,4.392277138020647,0,0,0,0,0,0,0,0,0,0,0,0,99.46753,1,2,1,1,2,57.43,
35:15.8,1.2320056,0.55474675,1.3564637,0.65789866,0.98538786,0.20330486,1.1068186,0.26927805,0.8318019,0.26885292,0.4187753,0.6576742,0.9443303,0.66287065,0.53089535,0.8260382,0.5733421,0.53888565,0.345291,0.40311593,724.0707,742.48,733.5409,738.58575,501.2116,478.11145,528.8256,528.5601,-0.292541504,0.200134277,0.882080078,-16.74057007,-2.504730225,-0.777587891,7.200537872827408,6.7588870610113725,5.351262427580288,4.389011754047159,0,0,0,0,0,0,0,0,0,0,0,0,99.59567,1,2,1,1,2,57.43,
35:16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
35:16.8,1.2320056,0.21852206,0.5748229,0.65789866,0.98538786,0.31826264,-0.15673818,0.26927805,0.8318019,0.20654891,-0.14742798,0.6576742,0.9443303,0.41809666,-0.026430339,0.8260382,0.5733421,0.3733185,-0.34625024,0.40311593,712.9189,675.21515,731.3282,760.1813,798.8586,820.63116,794.6103,1450,-0.253601074,0.045471191,1.005126953,4.344024658203125,-2.228088379,18.206024169921875,7.2040168800514985,6.807623679755859,5.347783420356198,4.439579429225377,0,0,0,0,0,0,0,0,0,0,0,0,100.840836,1,2,1,1,2,57.43,
35:17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
35:17.8,1.2320056,0.21852206,0.85454875,0.65789866,0.98538786,0.31826264,0.51422924,0.26927805,0.8318019,0.20654891,0.6006845,0.6576742,0.9443303,0.41809666,0.6144815,0.8260382,0.5733421,0.3733185,0.36189064,0.40311593,709.64417,718.22925,731.1512,721.85803,731.0627,730.7087,711.23724,1182.7107,-0.181518555,0.292480469,0.934509277,0.403747559,-15.03585815,-6.579589844,7.065894189733686,6.6839358176572965,5.179448298881816,4.310856161934053,0,0,0,0,0,0,0,0,0,0,0,0,103.55873,1,2,1,1,2,57.39,
35:18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
35:18.9,1.2320056,1.1601849,0.92802244,0.65789866,0.98538786,0.3851707,0.46443573,0.26927805,0.8318019,0.52921677,0.6303738,0.6576742,0.9443303,0.504614,0.5797206,0.8260382,0.5733421,0.3573995,0.4445198,0.40311593,732.8328,726.0178,734.0719,744.6042,767.96985,771.15607,761.15485,1291.3966,-0.343444824,0.249267578,0.865234375,6.930999755859375,7.65625,-2.945861816,6.953772500774861,6.595465274300837,5.062321722337458,4.227421023770355,0,0,0,0,0,0,0,0,0,0,0,0,105.01362,1,2,1,1,2,57.39,
35:19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
35:19.9,1.2320056,0.9732647,1.0598342,0.65789866,0.98538786,0.44572312,0.43860796,0.26927805,0.8318019,0.3878789,0.5401762,0.6576742,0.9443303,0.50503665,0.37201127,0.8260382,0.5733421,0.13722731,0.17403261,0.40311593,717.96375,704.7763,741.595,736.19604,793.7252,815.40924,791.07,1234.7524,-0.353027344,0.281188965,0.966308594,2.938385009765625,13.525543212890625,11.192779541015625,6.890845194668955,6.5268006580359055,4.9819993801111035,4.153782038,0,0,0,0,0,0,0,0,0,0,0,0,106.47123,1,2,1,1,2,57.39,
35:20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
